[2025-10-23 12:26:08] [INFO] === INICIANDO MIGRAÇÃO DE FILTROS ===
[2025-10-23 12:26:08] [INFO] Diretório de backup criado: backups_filtros
[2025-10-23 12:26:08] [INFO] Encontrados 254 templates HTML
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\base_admin.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\base_list.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\dashboard.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\admin\base_site.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\admin\custom_login.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\admin\login.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\components\page_header.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\empresa\info.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\examples\filters_usage_example.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\includes\filters_unified.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\registration\login.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\registro\login.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\horarios_expediente.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\dashboard.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\alertas\gerenciar.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\categorias\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\categorias\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\dashboard\executivo.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\fornecedores\associar_produto.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\fornecedores\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\fornecedores\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\fornecedores\editar_associacao.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\fornecedores\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\fornecedores\produtos.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\inventario\create.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\inventario\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\inventario\print_contagem.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\inventario\relatorio.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\logistica\dashboard.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\logistica\rastreamento_form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\materiais\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\materiais\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\materiais\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\movimentos\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\movimentos\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\movimentos\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\movimentos\form_unified.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\produtos\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\produtos\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\produtos\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\relatorios\devolucoes_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\relatorios\estoque_atual_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\relatorios\estoque_minimo_documento.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\stock\relatorios\movimentacoes_documento.html
