[2025-10-23 12:34:52] [INFO] === INICIANDO VERIFICAÇÃO DE FILTROS ===
[2025-10-23 12:34:52] [INFO] Diretório de backup criado: backups_filtros_verificacao
[2025-10-23 12:34:52] [INFO] Encontrados 254 templates HTML
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\base_admin.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\base_list.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\dashboard.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\admin\base_site.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\admin\custom_login.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\admin\login.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\components\page_header.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\empresa\info.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\examples\filters_usage_example.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\includes\filters_unified.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\registration\login.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\registro\login.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\rh\horarios_expediente.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\stock\dashboard.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\stock\alertas\gerenciar.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\stock\categorias\delete.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\stock\categorias\form.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\stock\dashboard\executivo.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\stock\fornecedores\associar_produto.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\stock\fornecedores\delete.html
[2025-10-23 12:34:52] [INFO] Pulando (não é lista): templates\stock\fornecedores\detail.html
